rrs_library_id	sample_id	filename_r1	filename_r2	rrs_library_notes	sra_accession
DFS.053.Post.7	SS01148	DFS.053.Post.7_R1.fastq	DFS.053.Post.7_R2.fastq	Originally pointed to SS01158, but this was an error due to a typo;	SRR15102459
DFS.053.Post.8	SS01162	DFS.053.Post.8_R1.fastq	DFS.053.Post.8_R2.fastq		SRR15102458
DFS.053.Post.9	SS01175	DFS.053.Post.9_R1.fastq	DFS.053.Post.9_R2.fastq		SRR15102457
DFS.053.post.abx	SS01137	DFS.053.post.abx_R1.fastq	DFS.053.post.abx_R2.fastq		SRR15102456
DFS.055.Baseline	SS01150	DFS.055.Baseline_R1.fastq	DFS.055.Baseline_R2.fastq		SRR15102455
DFS.055.FMTi	DS0044_005	DFS.055.FMTi_R1.fastq	DFS.055.FMTi_R2.fastq		SRR15102454
DFS.055.Post.1	SS01154	DFS.055.Post.1_R1.fastq	DFS.055.Post.1_R2.fastq		SRR15102453
DFS.055.Post.2	SS01155	DFS.055.Post.2_R1.fastq	DFS.055.Post.2_R2.fastq		SRR15102452
DFS.055.Post.3	SS01156	DFS.055.Post.3_R1.fastq	DFS.055.Post.3_R2.fastq		SRR15102451
DFS.055.Post.4	SS01160	DFS.055.Post.4_R1.fastq	DFS.055.Post.4_R2.fastq		SRR15102450
DFS.055.Post.5	SS01157	DFS.055.Post.5_R1.fastq	DFS.055.Post.5_R2.fastq		SRR15102447
DFS.055.Post.6	SS01158	DFS.055.Post.6_R1.fastq	DFS.055.Post.6_R2.fastq	See DFS.053.Post.7 for previous naming error confusing that sample with this one;	SRR15102446
DFS.055.Post.7	SS01161	DFS.055.Post.7_R1.fastq	DFS.055.Post.7_R2.fastq		SRR15102445
DFS.055.Post.8	SS01166	DFS.055.Post.8_R1.fastq	DFS.055.Post.8_R2.fastq		SRR15102444
DFS.056.Baseline	SS01164	DFS.056.Baseline_R1.fastq	DFS.056.Baseline_R2.fastq	apparent mistake previously had this library mapped to sample_id SS01181;	SRR15102443
DFS.056.E1	DS0044_007	DFS.056.E1_R1.fastq	DFS.056.E1_R2.fastq		SRR15102442
DFS.056.E3	DS0044_008	DFS.056.E3_R1.fastq	DFS.056.E3_R2.fastq		SRR15102441
DFS.056.E4	DS0044_009	DFS.056.E4_R1.fastq	DFS.056.E4_R2.fastq		SRR15102440
DFS.056.E5	DS0044_010	DFS.056.E5_R1.fastq	DFS.056.E5_R2.fastq		SRR15102439
DFS.056.E6	DS0044_011	DFS.056.E6_R1.fastq	DFS.056.E6_R2.fastq		SRR15102438
DFS.056.FMTi	DS0044_006	DFS.056.FMTi_R1.fastq	DFS.056.FMTi_R2.fastq		SRR15102436
DFS.056.Post.1	SS01163	DFS.056.Post.1_R1.fastq	DFS.056.Post.1_R2.fastq		SRR15102435
DFS.056.Post.2	SS01169	DFS.056.Post.2_R1.fastq	DFS.056.Post.2_R2.fastq		SRR15102434
DFS.056.Post.3	SS01168	DFS.056.Post.3_R1.fastq	DFS.056.Post.3_R2.fastq		SRR15102433
DFS.056.Post.4	SS01167	DFS.056.Post.4_R1.fastq	DFS.056.Post.4_R2.fastq		SRR15102432
DFS.056.Post.5	SS01170	DFS.056.Post.5_R1.fastq	DFS.056.Post.5_R2.fastq		SRR15102431
DFS.056.Post.6	SS01171	DFS.056.Post.6_R1.fastq	DFS.056.Post.6_R2.fastq		SRR15102430
DFS.056.Post.7	SS01172	DFS.056.Post.7_R1.fastq	DFS.056.Post.7_R2.fastq		SRR15102429
DFS.059.Baseline	SS01173	DFS.059.Baseline_R1.fastq	DFS.059.Baseline_R2.fastq	apparent mistake previously had this library mapped to sample_id SS01185;	SRR15102428
EB.05.23.18.1		EB.05.23.18.1_R1.fastq	EB.05.23.18.1_R2.fastq		
EB.05.23.18.2		EB.05.23.18.2_R1.fastq	EB.05.23.18.2_R2.fastq		
EB.05.23.18.3		EB.05.23.18.3_R1.fastq	EB.05.23.18.3_R2.fastq		
EB.05.23.18.4		EB.05.23.18.4_R1.fastq	EB.05.23.18.4_R2.fastq		
EB.05.23.18.5		EB.05.23.18.5_R1.fastq	EB.05.23.18.5_R2.fastq		
EB.05.23.18.6		EB.05.23.18.6_R1.fastq	EB.05.23.18.6_R2.fastq		
EB.3.28.19.1		EB.3.28.19.1_R1.fastq	EB.3.28.19.1_R2.fastq		
EB.3.28.19.2		EB.3.28.19.2_R1.fastq	EB.3.28.19.2_R2.fastq		
EB.3.28.19.3		EB.3.28.19.3_R1.fastq	EB.3.28.19.3_R2.fastq		
EB.3.28.19.4		EB.3.28.19.4_R1.fastq	EB.3.28.19.4_R2.fastq		
EB.04.18.19		EB.04.18.19_R1.fastq	EB.04.18.19_R2.fastq		
